id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1207168347943536435,Green Oasis 2BR Apartment in Pangrati,20104194,Upstreet,,ΠΑΓΚΡΑΤΙ,37.96824906284683,23.749740563053592,Entire home/apt,71,2,4,2024-09-04,2.40,124,227,4,00002498866
1207183786403264082,Fashionable 2 Bd Apt in Ano Kipseli with Balcony,559218332,Dimitra,,ΚΥΨΕΛΗ,38.0027021,23.744605,Entire home/apt,70,2,0,,,2,357,0,00002148995
1207185801802622352,Exceptional Living Loft 203,20104194,Upstreet,,ΝΕΟΣ ΚΟΣΜΟΣ,37.9583678714808,23.72591614441906,Entire home/apt,70,2,1,2024-08-26,1,124,7,1,00002829224
1207225800085035403,Athens Warm and comfortable 2BD Apt with Balcony,584615565,Wellhwa,,ΠΑΤΗΣΙΑ,38.0110908,23.7350739,Entire home/apt,52,1,0,,,17,346,0,00002226204
1207233529237466628,雅典温馨舒适二卧公寓 带城景阳台 近 Attiki 地铁站,584615565,Wellhwa,,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,37.9980128,23.7200916,Entire home/apt,45,1,0,,,17,362,0,00002414929
1207274823010301609,Signature 2Bd Apartment w/Modern Rooftop,2539665,Pygmalion,,ΓΟΥΔΙ,37.9848603,23.7621141,Entire home/apt,75,2,4,2024-09-20,4,10,357,4,00002921211
1207308799976580369,Acropolis apartment,452986978,Katerina,,ΑΚΡΟΠΟΛΗ,37.96671,23.72289,Entire home/apt,64,2,1,2024-09-08,1,2,266,1,00002819241
1207320376995637739,Athens Katehaki,500889153,Crucial,,ΕΛΛΗΝΟΡΩΣΩΝ,37.9956853,23.7745261,Entire home/apt,30,1,1,2024-07-31,0.55,3,298,1,00002715332
1207333133986840657,Mamma Mia Art House 3bdr 3 bthr,204301874,Joelle,,ΠΑΓΚΡΑΤΙ,37.96701,23.74624,Entire home/apt,130,1,2,2024-09-21,2,20,347,2,00002748753
1207360182153090407,Bigtrel #1Seed and #2Branch,582033706,Ioannis,,ΚΕΡΑΜΕΙΚΟΣ,37.98042465131971,23.717309384655753,Entire home/apt,491,1,0,,,3,356,0,1327759
1207715727369243736,Athens Cozy Corners,556344466,Fanouria,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.9990771,23.7309498,Entire home/apt,60,4,0,,,2,365,0,00008386150
1207750845279514479,Athens Museum Apartment,119596605,Fanis,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.990366666725706,23.731903008598326,Entire home/apt,72,1,0,,,1,364,0,00002833939
1207765228292932791,The HostMaster Blue Bliss,177854704,Emmanuela,,ΣΤΑΔΙΟ,37.96527,23.74397,Entire home/apt,60,1,0,,,30,365,0,00002822524
1207768706232422287,the heart of Athens,547234216,Salar,,ΓΟΥΔΙ,37.98326,23.75849,Entire home/apt,140,2,1,2024-09-08,1,2,365,1,00002830450
1207816341832184215,Modern&Stylish 1BD apt next metro and Acropolis,316781611,Konstantinos,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.9648653,23.7227166,Entire home/apt,68,2,4,2024-09-06,2.45,16,346,4,00002723762
1207822623647197448,Mid-century downtown apartment,258854,Daniel,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98508,23.73409,Entire home/apt,104,2,0,,,1,364,0,00002823840
1195929490926566230,Mocha Acropolis View Apartment,544426499,Thesi,,ΣΤΑΔΙΟ,37.96708569781707,23.74396956295728,Entire home/apt,68,2,14,2024-09-22,6.09,3,152,14,01079687216
1196040549875434820,Clavis Athens,348672376,Eleni,,ΠΑΤΗΣΙΑ,38.00967,23.736499,Entire home/apt,60,2,2,2024-08-29,0.85,1,59,2,00002368523
1196104422286556180,Frinely Lifestyle Apartment 503,23444614,Constantinos,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9788694843804,23.729630796958922,Entire home/apt,103,2,0,,,19,334,0,00002521844
1196107520164762828,Cozy central apartment for 2 person,182156346,Maryland,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,38.002327455486174,23.72624304541586,Entire home/apt,36,1,2,2024-08-13,1.22,68,226,2,00002756997
1196190232406154897,Acropolis Dreams,16842834,Dora,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96712108232107,23.72792453068849,Entire home/apt,130,2,9,2024-09-08,4.43,4,343,9,00002827241
1196203414609582565,Sunlit Suite with Jacuzzi and  Acropolis View,144814182,Dropebnb,,ΖΑΠΠΕΙΟ,37.9676246,23.7310458,Entire home/apt,150,1,0,,,51,331,0,00002880075
1196247009876740463,2-bedroom La Prima apartment near the metro,520807652,Golden Bridge,,ΠΑΤΗΣΙΑ,38.0145489,23.7302014,Entire home/apt,,2,1,2024-07-23,0.48,19,0,1,00002012830
1196275257298731240,IN homy comfortable studio D-5 near metro,556625592,Ifigeneia,,ΝΕΟΣ ΚΟΣΜΟΣ,37.9624186,23.7262071,Entire home/apt,55,3,6,2024-09-17,3.75,2,247,6,00002779883
